"","Rank","Name","Industry","Revenue(in  ₹ Crore)","Revenue growth","Profits(in  ₹ Crore)","Headquarters","State Controlled"
"1",1,"Indian Oil Corporation","Oil and gas",424321,13.2,22189,"New Delhi","Yes"
"2",2,"Reliance Industries Limited","Oil and gas",410295,28.2,36075,"Mumbai",""
"3",3,"Oil and Natural Gas Corporation","Oil and gas",333143,11,22106,"New Delhi","Yes"
"4",4,"State Bank of India","Banking",306528,2.6,-4556,"Mumbai","Yes"
"5",5,"Tata Motors","Automotive",301175,7.9,8989,"Mumbai",""
"6",6,"Bharat Petroleum","Oil and gas",238638,13.7,9009,"Mumbai","Yes"
"7",7,"Hindustan Petroleum","Oil and gas",221693,13.4,7218,"Mumbai","Yes"
"8",8,"Rajesh Exports","Gems and jewellery",187748,22.5,1266,"Bangalore",""
"9",9,"Tata Steel","Iron and steel",147192,25.3,13434,"Kolkata",""
"10",10,"Coal India","Metals and mining",132897,5.3,7020,"Kolkata","Yes"
"11",11,"Tata Consultancy Services","Infotech",126745,3.6,25826,"Mumbai",""
"12",12,"Larsen & Toubro","Capital goods",122743,10.6,7370,"Mumbai",""
"13",13,"Hindalco Industries","Metals and mining",120428,15.5,6083,"Mumbai",""
"14",14,"ICICI Bank","Banking",118969,4.9,7712,"Mumbai",""
"15",15,"Vedanta Resources","Metals and mining",102192,30.8,10342,"London, UK",""
"16",16,"HDFC Bank","Banking",101344,17.6,18510,"Mumbai",""
"17",17,"Mahindra & Mahindra","Automotive",96377,12.2,7510,"Mumbai",""
"18",18,"NTPC Limited","Utilities",90144,7.7,10544,"New Delhi","Yes"
"19",19,"Bharti Airtel","Telecommunication",86704,13,1099,"New Delhi",""
"20",20,"Maruti Suzuki India","Automotive",81978,15.6,7880,"New Delhi",""
"21",21,"Infosys","Infotech",73762,3.1,16029,"Bangalore",""
"22",22,"Nayara Energy","Oil and gas",73015,10.7,576,"Mumbai",""
"23",23,"HDFC","Financials",72596,18.9,16255,"Mumbai",""
"24",24,"JSW Steel Ltd","Iron and steel",70148,22.6,6214,"Mumbai",""
"25",25,"Axis Bank","Banking",58477,1.5,456,"Mumbai","Yes"
"26",26,"Steel Authority of India","Iron and steel",57626,28.8,-281,"New Delhi","Yes"
"27",27,"Punjab National Bank","Banking",57608,0.7,-12130,"New Delhi","Yes"
"28",28,"Grasim Industries","Diversified",57273,54.9,2679,"Mumbai",""
"29",29,"Wipro","Infotech",56986,1.6,8003,"Bangalore",""
"30",30,"Motherson Sumi Systems","Automotive",56839,32.7,1597,"Noida",""
"31",31,"GAIL","Oil and gas",55503,11.6,4799,"New Delhi","Yes"
"32",32,"Bank of Baroda","Banking",54048,3.1,-1887,"Vadodara","Yes"
"33",33,"HCL Technologies","Infotech",51695,6.3,8721,"Noida",""
"34",34,"MRPL","Oil and gas",50209,8.9,1993,"Mangalore","Yes"
"35",35,"Canara Bank","Banking",48743,1.2,-3951,"Bangalore","Yes"
"36",36,"ITC Limited","Consumer goods",44674,1.6,11271,"Kolkata",""
"37",37,"Bank of India","Banking",44158,4.8,-5916,"Mumbai","Yes"
"38",38,"General Insurance Corporation of India","Insurance",43555,38.9,3146,"Mumbai","Yes"
"39",39,"Kotak Mahindra Bank","Banking",38813,14.2,6201,"Mumbai",""
"40",40,"Union Bank of India","Banking",38413,0.4,-5212,"Mumbai","Yes"
"41",41,"Hindustan Unilever","Consumer goods",36088,7.1,5214,"Mumbai",""
"42",42,"Vodafone India","Telecommunication",34855,18.9,7766,"Mumbai",""
"43",43,"Tata Power","Utilities",33213,12.8,2477,"Mumbai",""
"44",44,"Chennai Petroleum Corporation","Oil and gas",33187,20,927,"Chennai","Yes"
"45",45,"Hero MotoCorp","Automotive",33141,12.9,3720,"New Delhi",""
"46",46,"Tech Mahindra","Infotech",32190,7.6,3800,"Pune",""
"47",47,"UltraTech Cement","Cement",32106,23.7,2222,"Mumbai",""
"48",48,"Petronet LNG","Oil and gas",30949,23.9,2110,"New Delhi","Yes"
"49",49,"Power Grid Corporation of India","Utilities",30908,16.1,8198,"Gurgaon","Yes"
"50",50,"Bajaj Finserv","Financials",30599,24.9,2741,"Pune",""
